Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegressionSuite,Chrome 65.0.3325.181,,2018-04-04 15:17:35,2018-04-04 15:18:10,34.574s,PASSED
,,,,,,
Test Cases/HME-StoreDetailsPage-09,Chrome 65.0.3325.181,To verify that public admin is able to view store details page,2018-04-04 15:17:36,2018-04-04 15:18:10,33.935s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 65.0.3325.181,,2018-04-04 15:17:36,2018-04-04 15:17:54,18.016s,PASSED
Statement - TCflag = true,Chrome 65.0.3325.181,,2018-04-04 15:17:54,2018-04-04 15:17:54,0.002s,PASSED
projectSpecific.Reusability.login,Chrome 65.0.3325.181,User login to Application,2018-04-04 15:17:54,2018-04-04 15:18:01,7.227s,PASSED
"Statement - str = com.kms.katalon.core.testdata.TestDataFactory.findTestData(AdminCredentials).getValue(""StoreDetails"", 1)",Chrome 65.0.3325.181,,2018-04-04 15:18:01,2018-04-04 15:18:02,0.037s,PASSED
uiaction.CommonUIActions.click,Chrome 65.0.3325.181,,2018-04-04 15:18:02,2018-04-04 15:18:05,3.962s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-04 15:18:05,2018-04-04 15:18:06,0.040s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 65.0.3325.181,,2018-04-04 15:18:06,2018-04-04 15:18:06,0.007s,PASSED
"Statement - wes = driver.findElements(org.openqa.selenium.By.xpath(""//div[@class='ctable']/table//tr/th""))",Chrome 65.0.3325.181,,2018-04-04 15:18:06,2018-04-04 15:18:06,0.032s,PASSED
"Statement - ar = ["" "", ""Brand"", ""Store"", ""Store Address"", ""City, State"", ""Leaderboard Groups"", ""System Name"", ""System Version"", ""System Status""]",Chrome 65.0.3325.181,,2018-04-04 15:18:06,2018-04-04 15:18:06,0.001s,PASSED
Statement - count = 1,Chrome 65.0.3325.181,,2018-04-04 15:18:06,2018-04-04 15:18:06,0.000s,PASSED
"Statement - For ([i = 1, i < wes.size(), (i++)])",Chrome 65.0.3325.181,,2018-04-04 15:18:06,2018-04-04 15:18:06,0.170s,PASSED
Statement - If (count == wes.size()),Chrome 65.0.3325.181,,2018-04-04 15:18:06,2018-04-04 15:18:06,0.464s,PASSED
uiaction.CommonUIActions.click,Chrome 65.0.3325.181,,2018-04-04 15:18:06,2018-04-04 15:18:08,1.772s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-04 15:18:08,2018-04-04 15:18:08,0.054s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-04 15:18:08,2018-04-04 15:18:08,0.025s,PASSED
"Statement - attr = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(StorePage/defaultstoredetsails), ""aria-selected"")",Chrome 65.0.3325.181,,2018-04-04 15:18:08,2018-04-04 15:18:08,0.054s,PASSED
Statement - If (attr),Chrome 65.0.3325.181,,2018-04-04 15:18:08,2018-04-04 15:18:08,0.014s,PASSED
"Statement - storeArray = str.split("","")",Chrome 65.0.3325.181,,2018-04-04 15:18:08,2018-04-04 15:18:08,0.001s,PASSED
Statement - storeList = new java.util.ArrayList(java.util.Arrays.asList(storeArray)),Chrome 65.0.3325.181,,2018-04-04 15:18:08,2018-04-04 15:18:08,0.010s,PASSED
Statement - storeList.unique(),Chrome 65.0.3325.181,,2018-04-04 15:18:08,2018-04-04 15:18:08,0.001s,PASSED
Statement - out.println(storeList),Chrome 65.0.3325.181,,2018-04-04 15:18:08,2018-04-04 15:18:08,0.001s,PASSED
"Statement - wes1 = driver.findElements(org.openqa.selenium.By.xpath(""//form[@name='store_submit']/table/tbody/tr/th""))",Chrome 65.0.3325.181,,2018-04-04 15:18:08,2018-04-04 15:18:08,0.037s,PASSED
Statement - actualList = new java.util.ArrayList(),Chrome 65.0.3325.181,,2018-04-04 15:18:08,2018-04-04 15:18:08,0.000s,PASSED
"Statement - For ([i = 0, i < wes1.size(), (i++)])",Chrome 65.0.3325.181,,2018-04-04 15:18:08,2018-04-04 15:18:09,0.340s,PASSED
Statement - out.println(actualList),Chrome 65.0.3325.181,,2018-04-04 15:18:09,2018-04-04 15:18:09,0.001s,PASSED
Statement - execFlag1 = true,Chrome 65.0.3325.181,,2018-04-04 15:18:09,2018-04-04 15:18:09,0.001s,PASSED
"Statement - For ([j = 0, j < actualList.size(), (j++)])",Chrome 65.0.3325.181,,2018-04-04 15:18:09,2018-04-04 15:18:09,0.018s,PASSED
Statement - If (execFlag1),Chrome 65.0.3325.181,,2018-04-04 15:18:09,2018-04-04 15:18:09,0.000s,PASSED
