Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteDemo,Chrome 66.0.3359.181,,2018-05-18 12:02:53,2018-05-18 12:13:01,10m - 7.659s,FAILED
,,,,,,
Test Cases/TimeZoneTC/HME-Account_Setting-Timezone-04,Chrome 66.0.3359.181,To verify that time zone is displayed in CST in Day summary report,2018-05-18 12:02:54,2018-05-18 12:04:23,1m - 29.003s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-18 12:02:54,2018-05-18 12:02:59,4.898s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-18 12:02:59,2018-05-18 12:02:59,0.001s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-18 12:02:59,2018-05-18 12:04:22,1m - 23.095s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-18 12:04:22,2018-05-18 12:04:22,0.003s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-18 12:04:22,2018-05-18 12:04:23,0.714s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Account_Setting-Timezone-05,Chrome 66.0.3359.181,To verify that time zone is displayed in CST in Daypart summary report,2018-05-18 12:04:23,2018-05-18 12:05:58,1m - 35.348s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-18 12:04:23,2018-05-18 12:04:27,4.190s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-18 12:04:27,2018-05-18 12:04:27,0.001s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-18 12:04:27,2018-05-18 12:05:57,1m - 30.180s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-18 12:05:57,2018-05-18 12:05:57,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-18 12:05:57,2018-05-18 12:05:58,0.655s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Account_Setting-Timezone-06,Chrome 66.0.3359.181,To verify that time zone is displayed in CST in weekly summary report,2018-05-18 12:05:58,2018-05-18 12:09:02,3m - 3.577s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-18 12:05:58,2018-05-18 12:06:02,3.812s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-18 12:06:02,2018-05-18 12:06:02,0.001s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-18 12:06:02,2018-05-18 12:09:01,2m - 58.828s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-18 12:09:01,2018-05-18 12:09:01,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-18 12:09:01,2018-05-18 12:09:02,0.691s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Browser-Timezone-01,Chrome 66.0.3359.181,To verify that time zone is displayed in EST in Day summary report,2018-05-18 12:09:02,2018-05-18 12:10:15,1m - 13.324s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-18 12:09:02,2018-05-18 12:09:05,3.742s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-18 12:09:05,2018-05-18 12:09:05,0.001s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-18 12:09:05,2018-05-18 12:10:14,1m - 8.666s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-18 12:10:14,2018-05-18 12:10:14,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-18 12:10:14,2018-05-18 12:10:15,0.720s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Browser-Timezone-02,Chrome 66.0.3359.181,To verify that time zone is displayed in EST in Daypart summary report,2018-05-18 12:10:15,2018-05-18 12:11:36,1m - 20.841s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-18 12:10:15,2018-05-18 12:10:19,3.970s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-18 12:10:19,2018-05-18 12:10:19,0.001s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-18 12:10:19,2018-05-18 12:11:35,1m - 15.974s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-18 12:11:35,2018-05-18 12:11:35,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-18 12:11:35,2018-05-18 12:11:36,0.714s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Browser-Timezone-03,Chrome 66.0.3359.181,To verify that time zone is displayed in EST in Weekly summary report.,2018-05-18 12:11:36,2018-05-18 12:13:01,1m - 25.099s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-18 12:11:36,2018-05-18 12:11:40,3.995s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-18 12:11:40,2018-05-18 12:11:40,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-18 12:11:40,2018-05-18 12:13:00,1m - 20.231s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-18 12:13:00,2018-05-18 12:13:00,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-18 12:13:00,2018-05-18 12:13:01,0.709s,PASSED
